<<<<<<< HEAD
0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,
0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,
0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,
0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,
0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,
0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,
0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,
0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,
=======
0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,
0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,
0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,
0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,
0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,
0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,
0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,
0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,
>>>>>>> 8afea6c9f2333c8876c5e4387d2b3c2553f1ef12
